 PbW Density=11.35
 Energy(eV), Delta, Beta
  2627.9751  0.000184350982  0.000114878181
  2673.75244  0.000187468104  0.000108195854
  2720.32764  0.000187001322  0.000101905105
  2767.71411  0.000184780991  9.59811878E-05
  2815.92578  0.000178994946  9.04042026E-05
  2864.97754  0.000178403541  8.69426658E-05
  2914.88354  0.000174927321  8.197235E-05
  2965.65894  0.000170722589  7.72832063E-05
  3017.31885  0.000165887992  7.28589293E-05
  3069.87866  0.000154737325  7.46072983E-05
  3123.354  0.000158586379  7.03098849E-05
  3177.76074  0.000155780508  6.62587481E-05
  3233.11548  0.00015238089  6.2438754E-05
  3289.43433  0.000148703912  5.88374205E-05
  3346.73413  0.000144870879  5.54423459E-05
  3405.03198  0.000140929551  5.22428163E-05
  3464.3457  0.000136861796  4.92256477E-05
  3524.69238  0.000132110406  4.63816941E-05
  3586.09009  0.00012784297  4.52304594E-05
  3648.55762  0.000125612351  4.26292499E-05
  3712.11328  0.000122131416  4.01761099E-05
  3776.77588  0.000118651005  3.78635959E-05
  3842.56494  0.000114367918  3.56841483E-05
  3909.5  0.000111713329  3.44970467E-05
  3977.60107  0.00010860317  3.2509608E-05
  4046.88818  0.000105444873  3.06349684E-05
  4117.38232  0.000102309219  2.88647188E-05
  4189.10498  9.92170535E-05  2.71949066E-05
  4262.07617  9.61789119E-05  2.56197727E-05
  4336.31885  9.32021503E-05  2.41338475E-05
  4411.85498  9.02906104E-05  2.27323198E-05
  4488.70654  8.74461184E-05  2.14103602E-05
  4566.89697  8.46706462E-05  2.01640687E-05
  4646.44971  8.19656052E-05  1.89888833E-05
  4727.3877  7.93306026E-05  1.78809169E-05
  4809.73584  7.67660022E-05  1.68364695E-05
  4893.51855  7.4271491E-05  1.5851967E-05
  4978.76025  7.18457522E-05  1.49240786E-05
  5065.48682  6.94888295E-05  1.40496149E-05
  5153.72461  6.71998423E-05  1.32257273E-05
  5243.49951  6.49775393E-05  1.2449309E-05
  5334.83789  6.28209236E-05  1.17178488E-05
  5427.76709  6.07288894E-05  1.10288056E-05
  5522.31543  5.86998503E-05  1.03797147E-05
  5618.51074  5.67326606E-05  9.76838692E-06
  5716.38135  5.4826065E-05  9.19258855E-06
  5815.95752  5.2978332E-05  8.65029324E-06
  5917.26758  5.11882172E-05  8.13965926E-06
  6020.34277  4.94544111E-05  7.6588276E-06
  6125.21289  4.77752583E-05  7.2060534E-06
  6231.91016  4.61492746E-05  6.77980961E-06
  6340.46631  4.45752376E-05  6.37847916E-06
  6450.91309  4.30515211E-05  6.00063686E-06
  6563.28418  4.15768118E-05  5.64498032E-06
  6677.6123  4.01498364E-05  5.31025944E-06
  6793.93213  3.87689834E-05  4.99511589E-06
  6912.27832  3.74329429E-05  4.69853148E-06
  7032.68555  3.61404636E-05  4.41942393E-06
  7155.19043  3.4890094E-05  4.15674913E-06
  7279.82959  3.36805024E-05  3.90951664E-06
  7406.63965  3.25105211E-05  3.67692928E-06
  7535.6582  3.13787496E-05  3.45798549E-06
  7666.9248  3.02839271E-05  3.25203223E-06
