 UO2 Density=10.96
 Energy(eV), Delta, Beta
  238.298462  0.015596645  0.00178021193
  242.449463  0.0149510643  0.00166022638
  246.672791  0.0143361883  0.00155604817
  250.969681  0.0137511576  0.00145959319
  255.3414  0.0131906457  0.00136913755
  259.789307  0.0126498938  0.00128436566
  264.314667  0.0121264756  0.0012122154
  268.918854  0.0116305221  0.00115107349
  273.603241  0.0111573813  0.00109302218
  278.369232  0.0107035581  0.00103783642
  283.218231  0.0102652926  0.000985376653
  288.151733  0.00984115247  0.000940380851
  293.171143  0.00943657476  0.000904359273
  298.278015  0.00905142725  0.000870644697
  303.473816  0.0086825639  0.00083832728
  308.760132  0.00832817145  0.0008073434
  314.13855  0.00798644405  0.000777632114
  319.610657  0.00765496679  0.000751024054
  325.17807  0.0073377532  0.000729508931
  330.842468  0.00703380443  0.00070907356
  336.60553  0.00674120383  0.000689404376
  342.468964  0.0064587188  0.000670464069
  348.43457  0.00618490018  0.000652214745
  354.504089  0.00591746066  0.000636537443
  360.679321  0.00565809803  0.000626995345
  366.962128  0.00541107217  0.000620781269
  373.35437  0.00517422426  0.000614949444
  379.857971  0.00494536106  0.000609476934
  386.474854  0.00472270837  0.000604329281
  393.20697  0.00450364221  0.000603154593
  400.056396  0.00429329509  0.000607581576
  407.025146  0.00409236411  0.000613200944
  414.115234  0.00389720662  0.000619291852
  421.328888  0.00370216882  0.000627666421
  428.668152  0.00351504306  0.00064900954
  436.135284  0.00334041426  0.000674120558
  443.732513  0.00317558297  0.000700841425
  451.462036  0.00301945675  0.000729106017
  459.326233  0.00287138578  0.000758682319
  467.327393  0.00273102894  0.000789754151
  475.467926  0.00259907683  0.00082147104
  483.750275  0.00247360067  0.000852606434
  492.17691  0.00235320651  0.000884619774
  500.750305  0.002240245  0.000918232254
  509.473053  0.002131555  0.000944306492
  518.347778  0.00201597484  0.000967131986
  527.377075  0.00188221852  0.000990711618
  536.563599  0.00158711767  0.00101473741
  545.910217  0.00134129275  0.00150655757
  555.419678  0.00173435244  0.00149878778
  565.094727  0.00179778074  0.00148954894
  574.938293  0.0018280152  0.00147254008
  584.953369  0.00184794469  0.0014516029
  595.142822  0.0018587294  0.00141117338
  605.509888  0.00185227266  0.00136060151
  616.057495  0.00183849374  0.00130993931
  626.788818  0.00181064964  0.00125040673
  637.707092  0.00176281389  0.00119768933
  648.815491  0.00170971791  0.00115594268
  660.117493  0.00165389723  0.00112213974
  671.616333  0.00159851904  0.00109437993
  683.31543  0.00154002383  0.00107099966
  695.218323  0.00148244225  0.00105936418
  707.328613  0.00143366877  0.00105495064
  719.64978  0.0013909858  0.00105171464
  732.185669  0.00135323766  0.0010499598
  744.93988  0.00132073218  0.00104890647
  757.91626  0.0012925152  0.00104716746
  771.118713  0.00126767333  0.00104544556
  784.551086  0.00124720496  0.00104422355
  798.217468  0.00123218494  0.00104112178
  812.121887  0.00122001697  0.00103565317
